name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Ward,LEI,GKP,4.0,Available,0,0,0,0.0,2.6
Winks,LEI,MID,4.5,Available,270,5,0,1.7,14.8
Skipp,LEI,MID,4.9,Available,86,2,0,1.0,0.0
A.Fatawu,LEI,MID,5.5,Available,247,12,3,4.0,0.7
Alves,LEI,MID,4.5,Available,0,0,0,0.0,0.1
Nelson,LEI,DEF,4.0,NotAvail,0,0,0,0.0,0.0
El Khannouss,LEI,MID,5.0,Available,22,1,0,1.0,0.0
A.Becker,LIV,GKP,5.5,Available,270,21,2,7.0,12.4
Alexander-Arnold,LIV,DEF,7.0,Available,222,20,2,6.7,30.3
Bajcetic,LIV,MID,4.5,NotAvail,0,0,0,0.0,0.1
Bradley,LIV,DEF,4.9,Available,45,3,0,1.0,0.5
Clark,LIV,MID,4.5,NotAvail,0,0,0,0.0,0.0
Darwin,LIV,FWD,7.3,Available,32,2,0,1.0,2.8
Diogo J.,LIV,MID,7.6,Available,224,17,0,5.7,18.4
Doak,LIV,MID,4.5,NotAvail,0,0,0,0.0,0.0
Elliott,LIV,MID,5.3,Available,7,1,0,1.0,0.6
Endo,LIV,MID,4.9,Available,1,1,0,1.0,0.2
Gakpo,LIV,FWD,7.3,Available,53,2,0,0.7,2.2
Gomez,LIV,DEF,4.9,Available,0,0,0,0.0,0.5
Gravenberch,LIV,MID,5.0,Available,270,8,0,2.7,0.4
Jones,LIV,MID,5.4,Doubtful,0,0,0,0.0,0.1
Kelleher,LIV,GKP,4.4,Available,0,0,0,0.0,0.3
Konaté,LIV,DEF,5.0,Available,225,14,1,4.7,4.0
Luis Díaz,LIV,MID,7.6,Available,226,32,5,10.7,15.4
M.Salah,LIV,MID,12.6,Available,262,41,8,13.7,41.7
Mac Allister,LIV,MID,6.4,Available,270,9,0,3.0,2.1
McConnell,LIV,MID,4.5,Available,0,0,0,0.0,0.0
Morton,LIV,MID,4.5,Available,0,0,0,0.0,0.1
N.Phillips,LIV,DEF,4.0,NotAvail,0,0,0,0.0,0.2
Quansah,LIV,DEF,4.3,Available,45,1,0,1.0,2.7
R.Williams,LIV,DEF,4.0,NotAvail,0,0,0,0.0,0.1
Robertson,LIV,DEF,6.0,Available,250,18,0,6.0,6.3
Szoboszlai,LIV,MID,6.5,Available,270,15,1,5.0,2.5
Tsimikas,LIV,DEF,4.8,Available,18,2,0,1.0,0.3
Virgil,LIV,DEF,6.0,Available,270,18,1,6.0,13.9
Chiesa,LIV,MID,7.0,Available,0,0,0,0.0,0.2
Akanji,MCI,DEF,5.5,Available,270,9,0,3.0,5.7
Aké,MCI,DEF,5.4,Available,2,1,0,1.0,1.8
Bernardo,MCI,MID,6.6,Available,270,15,2,5.0,6.5
Bobb,MCI,MID,4.8,Injured,0,0,0,0.0,0.1
Carson,MCI,GKP,4.0,Available,0,0,0,0.0,0.2
De Bruyne,MCI,MID,9.6,Available,266,16,2,5.3,11.0
Doku,MCI,MID,6.5,Available,227,7,0,2.3,3.9
Ederson M.,MCI,GKP,5.5,Available,270,12,1,4.0,8.1
Foden,MCI,MID,9.4,Doubtful,45,1,0,1.0,7.0
Grealish,MCI,MID,6.4,Available,90,2,0,1.0,0.2
Gvardiol,MCI,DEF,6.0,Available,267,11,1,3.7,29.3
Haaland,MCI,FWD,15.2,Available,269,41,8,13.7,66.0
J.Alvarez,MCI,FWD,7.0,NotAvail,0,0,0,0.0,0.1
João Cancelo,MCI,DEF,5.3,NotAvail,0,0,0,0.0,0.4
Kovačić,MCI,MID,5.5,Available,229,14,3,4.7,1.6
Lewis,MCI,DEF,4.6,Available,270,14,1,4.7,8.3
Matheus N.,MCI,MID,4.9,Available,19,5,0,2.5,0.1
McAtee,MCI,MID,4.9,Available,1,1,0,1.0,0.1
Ortega Moreno,MCI,GKP,5.4,Available,0,0,0,0.0,0.6
Rodrigo,MCI,MID,6.4,Available,0,0,0,0.0,1.8
Rúben,MCI,DEF,5.5,Available,270,7,0,2.3,4.6
Stones,MCI,DEF,5.4,Available,40,1,0,1.0,1.7
Walker,MCI,DEF,5.4,Available,2,1,0,1.0,5.8
Sávio,MCI,MID,6.5,Doubtful,115,10,1,5.0,1.8
O’Reilly,MCI,MID,5.0,Available,0,0,0,0.0,0.0
Gündogan,MCI,MID,6.5,Available,41,2,0,1.0,0.3
Kaboré,MCI,DEF,4.5,NotAvail,0,0,0,0.0,0.0
Amad,MUN,MID,5.0,Available,170,10,0,3.3,4.2
Antony,MUN,MID,5.9,Available,1,1,0,1.0,0.2
B.Fernandes,MUN,MID,8.4,Available,258,7,0,2.3,12.2
Bayindir,MUN,GKP,4.4,Available,0,0,0,0.0,0.1
Casemiro,MUN,MID,5.0,Available,225,6,0,2.0,0.6
Dalot,MUN,DEF,5.0,Available,270,9,1,3.0,7.8
Eriksen,MUN,MID,5.4,Available,4,1,0,1.0,0.2
Evans,MUN,DEF,4.4,Available,9,1,0,1.0,0.1
Garnacho,MUN,MID,6.4,Available,122,7,0,2.3,11.7
Hannibal,MUN,MID,4.5,NotAvail,0,0,0,0.0,0.1
Heaton,MUN,GKP,4.0,Available,0,0,0,0.0,0.3
Højlund,MUN,FWD,6.9,Doubtful,0,0,0,0.0,0.4
Lindelof,MUN,DEF,4.4,Injured,0,0,0,0.0,0.1
Maguire,MUN,DEF,5.0,Available,179,8,0,2.7,0.7
Mainoo,MUN,MID,5.4,Available,263,5,0,1.7,4.9
Malacia,MUN,DEF,4.4,Injured,0,0,0,0.0,0.0
Martinez,MUN,DEF,4.5,Available,270,8,1,2.7,5.4
McTominay,MUN,MID,4.9,NotAvail,17,2,0,1.0,0.4
Mount,MUN,MID,6.4,Injured,105,3,0,1.5,0.1
Onana,MUN,GKP,5.0,Available,270,8,0,2.7,5.2
Pellistri,MUN,MID,5.0,NotAvail,0,0,0,0.0,0.0
Rashford,MUN,MID,6.9,Available,244,7,0,2.3,2.9
Shaw,MUN,DEF,4.9,Doubtful,0,0,0,0.0,0.3
Zirkzee,MUN,FWD,7.0,Available,159,10,3,3.3,3.8
Yoro,MUN,DEF,4.4,Injured,0,0,0,0.0,0.1
